dist,log_l,AIC,BIC,KS_stat,KS_p,reject_KS_5pct,region
Normal,-58.494,120.987,121.593,0.1707,0.8871,False,Chhattisgarh
Lognormal,-49.621,105.243,106.15,0.4641,0.0171,True,Chhattisgarh
Gamma,-58.493,122.986,123.893,0.1706,0.8877,False,Chhattisgarh
Weibull,-58.014,122.029,122.937,0.1541,0.9432,False,Chhattisgarh
Normal,-58.8,121.601,122.206,0.1342,0.9828,False,Himachal_Pradesh
Lognormal,-51.933,109.867,110.774,0.4911,0.0095,True,Himachal_Pradesh
Gamma,-58.694,123.387,124.295,0.1289,0.9885,False,Himachal_Pradesh
Weibull,-58.566,123.131,124.039,0.1405,0.9735,False,Himachal_Pradesh
Normal,-65.982,135.965,136.57,0.2525,0.4716,False,Madhya_Maharashtra
Lognormal,-62.258,130.516,131.423,0.5041,0.0071,True,Madhya_Maharashtra
Gamma,-66.479,138.959,139.866,0.2712,0.3839,False,Madhya_Maharashtra
Weibull,-64.424,134.848,135.756,0.2053,0.7211,False,Madhya_Maharashtra
Normal,-53.652,111.304,111.909,0.2319,0.5784,False,Odisha
Lognormal,-44.912,95.823,96.731,0.4868,0.0105,True,Odisha
Gamma,-40.724,87.448,88.356,0.3834,0.0784,False,Odisha
Weibull,-52.616,111.231,112.139,0.1721,0.8815,False,Odisha
Normal,-55.804,115.608,116.213,0.2891,0.3103,False,Punjab_Haryana
Lognormal,-39.798,85.596,86.504,0.4143,0.0456,True,Punjab_Haryana
Gamma,-42.383,90.765,91.673,0.3566,0.121,False,Punjab_Haryana
Weibull,-39.697,85.393,86.301,0.1967,0.7659,False,Punjab_Haryana
Normal,-62.814,129.628,130.233,0.122,0.9937,False,Uttarakhand
Lognormal,-57.872,121.744,122.652,0.5045,0.007,True,Uttarakhand
Gamma,-62.896,131.792,132.7,0.1175,0.996,False,Uttarakhand
Weibull,-62.483,130.965,131.873,0.1343,0.9826,False,Uttarakhand
Normal,-64.458,132.916,133.521,0.1158,0.9967,False,Vidarbha
Lognormal,-57.682,121.364,122.272,0.5005,0.0077,True,Vidarbha
Gamma,-64.365,134.729,135.637,0.1141,0.9973,False,Vidarbha
Weibull,-64.214,134.429,135.336,0.1215,0.994,False,Vidarbha
Normal,-61.989,127.977,128.583,0.1896,0.8014,False,West_Bengal
Lognormal,-52.75,111.5,112.408,0.4234,0.0385,True,West_Bengal
Gamma,-61.987,129.974,130.882,0.1918,0.7905,False,West_Bengal
Weibull,-61.713,129.427,130.334,0.2267,0.6064,False,West_Bengal
