region,enso_index,pearson_r,pearson_p,spearman_r,spearman_p,significant
Chhattisgarh,DJF (lag),0.285,0.424,0.285,0.425,No
Chhattisgarh,JJAS (contemp),-0.487,0.154,-0.43,0.214,No
Himachal_Pradesh,DJF (lag),-0.548,0.101,-0.576,0.082,No
Himachal_Pradesh,JJAS (contemp),0.191,0.597,0.261,0.467,No
Madhya_Maharashtra,DJF (lag),0.252,0.482,0.285,0.425,No
Madhya_Maharashtra,JJAS (contemp),-0.831,0.003,-0.588,0.074,Yes
Odisha,DJF (lag),-0.391,0.264,-0.261,0.467,No
Odisha,JJAS (contemp),-0.299,0.402,-0.176,0.627,No
Punjab_Haryana,DJF (lag),-0.67,0.034,-0.636,0.048,Yes
Punjab_Haryana,JJAS (contemp),0.11,0.763,0.333,0.347,No
Uttarakhand,DJF (lag),-0.072,0.843,-0.236,0.511,No
Uttarakhand,JJAS (contemp),-0.181,0.617,0.176,0.627,No
Vidarbha,DJF (lag),0.129,0.723,0.115,0.751,No
Vidarbha,JJAS (contemp),-0.358,0.31,-0.442,0.2,No
West_Bengal,DJF (lag),0.446,0.196,0.43,0.214,No
West_Bengal,JJAS (contemp),-0.226,0.53,-0.285,0.425,No
