region,strike_pct,strike_mm,prob_below,return_period_yrs
Chhattisgarh,60,664.0,0.0,14829673.0
Chhattisgarh,70,774.7,0.0,26031.8
Chhattisgarh,75,830.0,0.0005,2032.6
Chhattisgarh,80,885.4,0.0042,238.4
Chhattisgarh,85,940.7,0.024,41.6
Chhattisgarh,90,996.0,0.0937,10.7
Himachal_Pradesh,60,374.3,0.002,506.0
Himachal_Pradesh,70,436.7,0.0153,65.2
Himachal_Pradesh,75,467.9,0.0358,27.9
Himachal_Pradesh,80,499.0,0.0748,13.4
Himachal_Pradesh,85,530.2,0.1399,7.1
Himachal_Pradesh,90,561.4,0.2356,4.2
Madhya_Maharashtra,60,610.8,0.0176,56.7
Madhya_Maharashtra,70,712.6,0.0406,24.7
Madhya_Maharashtra,75,763.4,0.0612,16.3
Madhya_Maharashtra,80,814.3,0.0918,10.9
Madhya_Maharashtra,85,865.2,0.1367,7.3
Madhya_Maharashtra,90,916.1,0.2008,5.0
Odisha,60,645.1,0.0,inf
Odisha,70,752.6,0.0,inf
Odisha,75,806.4,0.0,inf
Odisha,80,860.1,0.0,inf
Odisha,85,913.9,0.0,inf
Odisha,90,967.6,0.0,inf
Punjab_Haryana,60,301.1,0.0,inf
Punjab_Haryana,70,351.3,0.0,inf
Punjab_Haryana,75,376.4,0.0,inf
Punjab_Haryana,80,401.4,0.0,inf
Punjab_Haryana,85,426.5,0.0,inf
Punjab_Haryana,90,451.6,0.3782,2.6
Uttarakhand,60,603.2,0.0009,1066.4
Uttarakhand,70,703.8,0.0099,101.5
Uttarakhand,75,754.1,0.026,38.5
Uttarakhand,80,804.3,0.06,16.7
Uttarakhand,85,854.6,0.1218,8.2
Uttarakhand,90,904.9,0.2185,4.6
Vidarbha,60,621.8,0.0033,305.5
Vidarbha,70,725.4,0.0207,48.3
Vidarbha,75,777.3,0.0446,22.4
Vidarbha,80,829.1,0.087,11.5
Vidarbha,85,880.9,0.1539,6.5
Vidarbha,90,932.7,0.2483,4.0
West_Bengal,60,723.9,0.0,39388.9
West_Bengal,70,844.5,0.0012,842.6
West_Bengal,75,904.8,0.0057,176.6
West_Bengal,80,965.2,0.0214,46.8
West_Bengal,85,1025.5,0.0643,15.5
West_Bengal,90,1085.8,0.1555,6.4
