region,,W_mm
Chhattisgarh,mean_mm,1106.7
Chhattisgarh,std_mm,88.5
Chhattisgarh,cv,0.08
Chhattisgarh,skewness,0.021
Chhattisgarh,ex_kurtosis,-1.429
Chhattisgarh,min_mm,984.7
Chhattisgarh,max_mm,1220.2
Chhattisgarh,range_mm,235.5
Chhattisgarh,SW_stat,0.9228
Chhattisgarh,SW_p,0.3807
Chhattisgarh,normal_5pct,Yes
Chhattisgarh,best_dist,Normal
Himachal_Pradesh,mean_mm,623.8
Himachal_Pradesh,std_mm,91.3
Himachal_Pradesh,cv,0.146
Himachal_Pradesh,skewness,0.295
Himachal_Pradesh,ex_kurtosis,-0.306
Himachal_Pradesh,min_mm,479.4
Himachal_Pradesh,max_mm,799.1
Himachal_Pradesh,range_mm,319.8
Himachal_Pradesh,SW_stat,0.9777
Himachal_Pradesh,SW_p,0.9519
Himachal_Pradesh,normal_5pct,Yes
Himachal_Pradesh,best_dist,Normal
Madhya_Maharashtra,mean_mm,1017.9
Madhya_Maharashtra,std_mm,187.2
Madhya_Maharashtra,cv,0.184
Madhya_Maharashtra,skewness,-0.986
Madhya_Maharashtra,ex_kurtosis,-0.253
Madhya_Maharashtra,min_mm,628.1
Madhya_Maharashtra,max_mm,1201.5
Madhya_Maharashtra,range_mm,573.4
Madhya_Maharashtra,SW_stat,0.8574
Madhya_Maharashtra,SW_p,0.0711
Madhya_Maharashtra,normal_5pct,Yes
Madhya_Maharashtra,best_dist,Weibull
Odisha,mean_mm,1075.2
Odisha,std_mm,54.5
Odisha,cv,0.051
Odisha,skewness,0.395
Odisha,ex_kurtosis,-1.234
Odisha,min_mm,1004.0
Odisha,max_mm,1156.7
Odisha,range_mm,152.7
Odisha,SW_stat,0.8945
Odisha,SW_p,0.1907
Odisha,normal_5pct,Yes
Odisha,best_dist,Gamma
Punjab_Haryana,mean_mm,501.8
Punjab_Haryana,std_mm,67.6
Punjab_Haryana,cv,0.135
Punjab_Haryana,skewness,0.245
Punjab_Haryana,ex_kurtosis,-1.793
Punjab_Haryana,min_mm,432.7
Punjab_Haryana,max_mm,584.1
Punjab_Haryana,range_mm,151.4
Punjab_Haryana,SW_stat,0.7853
Punjab_Haryana,SW_p,0.0096
Punjab_Haryana,normal_5pct,No
Punjab_Haryana,best_dist,Weibull
Uttarakhand,mean_mm,1005.4
Uttarakhand,std_mm,136.3
Uttarakhand,cv,0.136
Uttarakhand,skewness,-0.398
Uttarakhand,ex_kurtosis,-0.85
Uttarakhand,min_mm,755.7
Uttarakhand,max_mm,1172.2
Uttarakhand,range_mm,416.5
Uttarakhand,SW_stat,0.9517
Uttarakhand,SW_p,0.6881
Uttarakhand,normal_5pct,Yes
Uttarakhand,best_dist,Normal
Vidarbha,mean_mm,1036.3
Vidarbha,std_mm,160.7
Vidarbha,cv,0.155
Vidarbha,skewness,0.251
Vidarbha,ex_kurtosis,-0.497
Vidarbha,min_mm,782.4
Vidarbha,max_mm,1336.1
Vidarbha,range_mm,553.7
Vidarbha,SW_stat,0.9817
Vidarbha,SW_p,0.9736
Vidarbha,normal_5pct,Yes
Vidarbha,best_dist,Normal
West_Bengal,mean_mm,1206.5
West_Bengal,std_mm,125.5
West_Bengal,cv,0.104
West_Bengal,skewness,0.033
West_Bengal,ex_kurtosis,-0.899
West_Bengal,min_mm,1030.5
West_Bengal,max_mm,1422.1
West_Bengal,range_mm,391.7
West_Bengal,SW_stat,0.9558
West_Bengal,SW_p,0.737
West_Bengal,normal_5pct,Yes
West_Bengal,best_dist,Normal
