region,year,scenario,dT_celsius,mu_forward,sig_forward,put_price_lakh,call_price_lakh,p_drought
Chhattisgarh,2025,SSP245,0.8,1153.6,94.9,0.0009,0.1606,0.0011
Chhattisgarh,2025,SSP585,0.6,1141.9,93.3,0.003,0.1089,0.0015
Chhattisgarh,2026,SSP245,0.88,1158.3,95.5,0.0019,0.1724,0.001
Chhattisgarh,2026,SSP585,0.671,1146.1,93.9,0.0018,0.1184,0.0014
Chhattisgarh,2027,SSP245,0.96,1163.0,96.2,0.001,0.1863,0.0009
Chhattisgarh,2027,SSP585,0.744,1150.4,94.4,0.0027,0.1301,0.0012
Chhattisgarh,2028,SSP245,1.04,1167.7,96.8,0.0018,0.245,0.0008
Chhattisgarh,2028,SSP585,0.819,1154.8,95.0,0.0021,0.1582,0.0011
Chhattisgarh,2029,SSP245,1.12,1172.4,97.4,0.0013,0.283,0.0007
Chhattisgarh,2029,SSP585,0.896,1159.3,95.6,0.0016,0.1865,0.001
Chhattisgarh,2030,SSP245,1.2,1177.1,98.1,0.0018,0.3033,0.0006
Chhattisgarh,2030,SSP585,0.975,1163.9,96.3,0.0027,0.2114,0.0009
Chhattisgarh,2031,SSP245,1.28,1181.8,98.7,0.002,0.3439,0.0005
Chhattisgarh,2031,SSP585,1.056,1168.7,96.9,0.0028,0.2502,0.0008
Chhattisgarh,2032,SSP245,1.36,1186.5,99.3,0.0009,0.3745,0.0005
Chhattisgarh,2032,SSP585,1.139,1173.5,97.6,0.0016,0.2708,0.0007
Chhattisgarh,2033,SSP245,1.44,1191.2,100.0,0.0006,0.4235,0.0004
Chhattisgarh,2033,SSP585,1.224,1178.5,98.3,0.0005,0.3218,0.0006
Chhattisgarh,2034,SSP245,1.52,1195.9,100.6,0.0008,0.4781,0.0004
Chhattisgarh,2034,SSP585,1.311,1183.6,99.0,0.0017,0.3417,0.0005
Chhattisgarh,2035,SSP245,1.6,1200.6,101.3,0.0004,0.5516,0.0003
Chhattisgarh,2035,SSP585,1.4,1188.8,99.7,0.0019,0.4076,0.0004
Chhattisgarh,2036,SSP245,1.68,1205.3,101.9,0.0003,0.613,0.0003
Chhattisgarh,2036,SSP585,1.491,1194.2,100.4,0.0008,0.478,0.0004
Chhattisgarh,2037,SSP245,1.76,1209.9,102.5,0.0001,0.6832,0.0003
Chhattisgarh,2037,SSP585,1.584,1199.6,101.1,0.0011,0.5687,0.0003
Chhattisgarh,2038,SSP245,1.84,1214.6,103.2,0.0001,0.7325,0.0002
Chhattisgarh,2038,SSP585,1.679,1205.2,101.9,0.0,0.6021,0.0003
Chhattisgarh,2039,SSP245,1.92,1219.3,103.8,0.0005,0.8568,0.0002
Chhattisgarh,2039,SSP585,1.776,1210.9,102.7,0.0003,0.7046,0.0002
Chhattisgarh,2040,SSP245,2.0,1224.0,104.4,0.0003,0.9031,0.0002
Chhattisgarh,2040,SSP585,1.875,1216.7,103.4,0.0001,0.7955,0.0002
Chhattisgarh,2041,SSP245,2.0,1224.0,104.4,0.0004,0.9184,0.0002
Chhattisgarh,2041,SSP585,1.976,1222.6,104.2,0.0002,0.8888,0.0002
Chhattisgarh,2042,SSP245,2.0,1224.0,104.4,0.0002,0.9351,0.0002
Chhattisgarh,2042,SSP585,2.079,1228.7,105.1,0.0,1.0509,0.0002
Chhattisgarh,2043,SSP245,2.0,1224.0,104.4,0.0004,0.9538,0.0002
Chhattisgarh,2043,SSP585,2.184,1234.8,105.9,0.0003,1.1442,0.0001
Chhattisgarh,2044,SSP245,2.0,1224.0,104.4,0.0001,0.9357,0.0002
Chhattisgarh,2044,SSP585,2.291,1241.1,106.8,0.0005,1.292,0.0001
Chhattisgarh,2045,SSP245,2.0,1224.0,104.4,0.0002,0.9096,0.0002
Chhattisgarh,2045,SSP585,2.4,1247.5,107.6,0.0001,1.4785,0.0001
Chhattisgarh,2046,SSP245,2.0,1224.0,104.4,0.0003,0.875,0.0002
Chhattisgarh,2046,SSP585,2.511,1254.0,108.5,0.0005,1.5659,0.0001
Chhattisgarh,2047,SSP245,2.0,1224.0,104.4,0.0,0.9746,0.0002
Chhattisgarh,2047,SSP585,2.624,1260.6,109.4,0.0001,1.909,0.0001
Chhattisgarh,2048,SSP245,2.0,1224.0,104.4,0.0,0.9466,0.0002
Chhattisgarh,2048,SSP585,2.739,1267.4,110.3,0.0,2.0221,0.0001
Chhattisgarh,2049,SSP245,2.0,1224.0,104.4,0.0,0.9225,0.0002
Chhattisgarh,2049,SSP585,2.856,1274.2,111.3,0.0,2.2462,0.0
Chhattisgarh,2050,SSP245,2.0,1224.0,104.4,0.0,0.8966,0.0002
Chhattisgarh,2050,SSP585,2.975,1281.2,112.2,0.0,2.5705,0.0
Chhattisgarh,2051,SSP245,2.0,1224.0,104.4,0.0,0.918,0.0002
Chhattisgarh,2051,SSP585,3.096,1288.3,113.2,0.0,2.8291,0.0
Chhattisgarh,2052,SSP245,2.0,1224.0,104.4,0.0003,0.9216,0.0002
Chhattisgarh,2052,SSP585,3.219,1295.5,114.2,0.0,3.0545,0.0
Chhattisgarh,2053,SSP245,2.0,1224.0,104.4,0.0006,0.9208,0.0002
Chhattisgarh,2053,SSP585,3.344,1302.9,115.1,0.0003,3.3457,0.0
Chhattisgarh,2054,SSP245,2.0,1224.0,104.4,0.0,0.9256,0.0002
Chhattisgarh,2054,SSP585,3.471,1310.3,116.2,0.0,3.8298,0.0
Chhattisgarh,2055,SSP245,2.0,1224.0,104.4,0.0003,0.9087,0.0002
Chhattisgarh,2055,SSP585,3.6,1317.9,117.2,0.0,4.1742,0.0
Chhattisgarh,2056,SSP245,2.0,1224.0,104.4,0.0006,0.9336,0.0002
Chhattisgarh,2056,SSP585,3.731,1325.6,118.2,0.0,4.4966,0.0
Chhattisgarh,2057,SSP245,2.0,1224.0,104.4,0.0004,0.9393,0.0002
Chhattisgarh,2057,SSP585,3.864,1333.4,119.3,0.0,4.9093,0.0
Chhattisgarh,2058,SSP245,2.0,1224.0,104.4,0.0004,0.9478,0.0002
Chhattisgarh,2058,SSP585,3.999,1341.3,120.4,0.0,5.2715,0.0
Chhattisgarh,2059,SSP245,2.0,1224.0,104.4,0.0002,0.8884,0.0002
Chhattisgarh,2059,SSP585,4.0,1341.3,120.4,0.0,5.3427,0.0
Chhattisgarh,2060,SSP245,2.0,1224.0,104.4,0.0,0.9473,0.0002
Chhattisgarh,2060,SSP585,4.0,1341.3,120.4,0.0,5.2927,0.0
Himachal_Pradesh,2025,SSP245,0.8,650.3,97.8,0.1707,0.8739,0.0511
Himachal_Pradesh,2025,SSP585,0.6,643.6,96.2,0.1884,0.7863,0.0567
Himachal_Pradesh,2026,SSP245,0.88,652.9,98.5,0.1597,0.9659,0.049
Himachal_Pradesh,2026,SSP585,0.671,646.0,96.8,0.1794,0.8229,0.0547
Himachal_Pradesh,2027,SSP245,0.96,655.5,99.2,0.1522,0.9944,0.0471
Himachal_Pradesh,2027,SSP585,0.744,648.4,97.4,0.168,0.8436,0.0526
Himachal_Pradesh,2028,SSP245,1.04,658.2,99.8,0.1348,1.0247,0.0452
Himachal_Pradesh,2028,SSP585,0.819,650.9,98.0,0.1723,0.8887,0.0506
Himachal_Pradesh,2029,SSP245,1.12,660.8,100.5,0.1297,1.17,0.0433
Himachal_Pradesh,2029,SSP585,0.896,653.4,98.6,0.1524,0.949,0.0486
Himachal_Pradesh,2030,SSP245,1.2,663.5,101.1,0.124,1.1996,0.0416
Himachal_Pradesh,2030,SSP585,0.975,656.0,99.3,0.1523,1.0481,0.0467
Himachal_Pradesh,2031,SSP245,1.28,666.1,101.8,0.1174,1.2946,0.0399
Himachal_Pradesh,2031,SSP585,1.056,658.7,99.9,0.1438,1.053,0.0448
Himachal_Pradesh,2032,SSP245,1.36,668.8,102.4,0.1194,1.2826,0.0383
Himachal_Pradesh,2032,SSP585,1.139,661.5,100.6,0.1404,1.144,0.0429
Himachal_Pradesh,2033,SSP245,1.44,671.4,103.1,0.1115,1.3646,0.0368
Himachal_Pradesh,2033,SSP585,1.224,664.3,101.3,0.1402,1.192,0.0411
Himachal_Pradesh,2034,SSP245,1.52,674.1,103.8,0.1154,1.4349,0.0353
Himachal_Pradesh,2034,SSP585,1.311,667.1,102.0,0.1353,1.3018,0.0393
Himachal_Pradesh,2035,SSP245,1.6,676.7,104.4,0.0971,1.5054,0.0339
Himachal_Pradesh,2035,SSP585,1.4,670.1,102.8,0.1313,1.3948,0.0375
Himachal_Pradesh,2036,SSP245,1.68,679.3,105.1,0.1158,1.6173,0.0326
Himachal_Pradesh,2036,SSP585,1.491,673.1,103.5,0.1094,1.4706,0.0358
Himachal_Pradesh,2037,SSP245,1.76,682.0,105.7,0.0933,1.6508,0.0313
Himachal_Pradesh,2037,SSP585,1.584,676.2,104.3,0.1044,1.5381,0.0342
Himachal_Pradesh,2038,SSP245,1.84,684.6,106.4,0.0926,1.7836,0.03
Himachal_Pradesh,2038,SSP585,1.679,679.3,105.1,0.1042,1.6663,0.0326
Himachal_Pradesh,2039,SSP245,1.92,687.3,107.0,0.0873,1.8538,0.0288
Himachal_Pradesh,2039,SSP585,1.776,682.5,105.9,0.0954,1.7363,0.031
Himachal_Pradesh,2040,SSP245,2.0,689.9,107.7,0.0816,1.8839,0.0277
Himachal_Pradesh,2040,SSP585,1.875,685.8,106.7,0.082,1.8367,0.0295
Himachal_Pradesh,2041,SSP245,2.0,689.9,107.7,0.0775,1.9587,0.0277
Himachal_Pradesh,2041,SSP585,1.976,689.1,107.5,0.0908,1.9257,0.028
Himachal_Pradesh,2042,SSP245,2.0,689.9,107.7,0.0912,1.967,0.0277
Himachal_Pradesh,2042,SSP585,2.079,692.5,108.3,0.081,2.0841,0.0266
Himachal_Pradesh,2043,SSP245,2.0,689.9,107.7,0.0845,1.9738,0.0277
Himachal_Pradesh,2043,SSP585,2.184,696.0,109.2,0.0808,2.1883,0.0252
Himachal_Pradesh,2044,SSP245,2.0,689.9,107.7,0.0876,1.8904,0.0277
Himachal_Pradesh,2044,SSP585,2.291,699.5,110.1,0.0785,2.2786,0.0239
Himachal_Pradesh,2045,SSP245,2.0,689.9,107.7,0.0712,1.9609,0.0277
Himachal_Pradesh,2045,SSP585,2.4,703.1,111.0,0.0593,2.3539,0.0227
Himachal_Pradesh,2046,SSP245,2.0,689.9,107.7,0.088,1.9585,0.0277
Himachal_Pradesh,2046,SSP585,2.511,706.8,111.9,0.0632,2.4467,0.0215
Himachal_Pradesh,2047,SSP245,2.0,689.9,107.7,0.0934,2.0241,0.0277
Himachal_Pradesh,2047,SSP585,2.624,710.6,112.8,0.0585,2.7036,0.0203
Himachal_Pradesh,2048,SSP245,2.0,689.9,107.7,0.0819,1.9622,0.0277
Himachal_Pradesh,2048,SSP585,2.739,714.4,113.8,0.0482,2.914,0.0192
Himachal_Pradesh,2049,SSP245,2.0,689.9,107.7,0.0922,1.9556,0.0277
Himachal_Pradesh,2049,SSP585,2.856,718.2,114.7,0.0582,2.9813,0.0181
Himachal_Pradesh,2050,SSP245,2.0,689.9,107.7,0.0814,1.8807,0.0277
Himachal_Pradesh,2050,SSP585,2.975,722.2,115.7,0.0521,3.1534,0.0171
Himachal_Pradesh,2051,SSP245,2.0,689.9,107.7,0.0852,1.9632,0.0277
Himachal_Pradesh,2051,SSP585,3.096,726.2,116.7,0.0423,3.2867,0.0161
